Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,967,-301,0,-2035,46,4436,3434,-22,2825,886,0,-19000,0,921,0.005262691,0.408686397
1,-2286,-792,-11,-67,-2080,2363,263,12,61,907,-2640,-8800,0,-206,-0.070890336,0.487892311
1,1502,1634,0,-205,810,2955,-75,22,-396,744,0,477100,0,692,-0.124346977,0.647224295
1,-904,-384,0,-614,-1022,-1023,-113,0,70,115,-50,-14000,0,119,-0.020675615,0.787581907
1,-91,-216,0,406,-431,-529,161,2,125,401,0,7000,0,339,-0.044779,0.339799267
1,440,950,0,-514,874,24,152,0,1214,-355,0,-800100,0,-434,-0.067677946,0.493776741
1,-1052,-849,0,-48,-622,-131,-69,6,-58,38,0,2000,0,-429,-0.034335616,0.61645331
1,-1948,-914,-26,71,-2161,-841,-11,152,1256,400,0,-1520000,0,213,0.095478943,0.486065235
1,352,217,0,34,133,-310,91,-3,104,248,-279,-7900,0,219,-0.045733348,0.567954374
1,2708,2770,2,226,2698,-1365,-292,1,-353,4,3,-88500,30900,10,-0.044876671,0.515375421
1,474,78,-1375,318,-11,-560,41,-7,-18,491,0,150000,0,486,0.004034518,0.345847809
1,-556,1624,45,-2112,122,110,190,6,9,-681,-6895,49700,2400,-679,-0.04037604,0.069663734
1,1959,70,0,212,1409,397,-14,1,22,550,0,-14319800,-79658469,550,0.178287841,0.594540943
1,228,-140,0,950,-719,714,2095,0,2619,974,0,10300,0,947,-0.061216825,0.703930896
1,374,-128,0,491,191,499,-283,3,-1509,-2046,-653,373200,5434393,183,-0.169051205,0.087851406
1,-2371,-1653,-1055,-554,-787,149,122,0,-1359,-886,0,-24400,0,-1585,-0.199822267,0.22089628
1,-1386,-919,0,-966,-451,199,1218,6,1498,-1083,-634,-18620100,0,-935,-0.152133825,0.537671233
1,-400,-37,0,10,-593,-340,-91,0,-46,188,0,5000,10000,194,-0.046158565,0.461278945
1,-275,-52,0,-386,-74,468,210,0,1,-176,213,865000,0,-201,0.001911437,0.195762982
1,58,-124,0,-192,-159,-516,166,0,120,268,0,-500,0,217,0.018172724,0.38762921
1,161,-1612,-104,-426,54,-322,14,2,161,113,0,-362100,0,107,0.111456713,0.51874892
1,-191,-267,0,58,-198,446,-20,-1,-34,38,0,-100,0,6,-0.046032077,0.222245366
1,378,1581,0,-803,1704,1306,603,-1,-314,-1330,0,-6800,0,-1327,-0.238725065,1.230702515
1,-74,104,0,-681,-26,137,202,-3,207,137,-789,-1087800,0,-49,-0.033038348,0.220943953
1,1075,-90,0,1167,-93,84,99,2,21,-202,1095,85000,1075800,1169,-0.025201939,0.035541195
1,1352,421,0,1565,-17,-372,-182,0,-263,-436,1704,826700,42993600,1369,-0.280483054,0.052980132
1,-31,1,0,-268,132,364,-33,0,-77,-163,0,-1915300,0,-163,-0.031095406,0.780212014
1,-760,-190,0,-478,-210,971,211,2,157,1001,-701,-1300,3900000,-551,-0.060305344,1.186259542
1,5,-36,0,121,-27,214,65,-2,37,58,0,-2000,0,33,-0.0984,0.336
1,-720,-55,-33,-207,-772,-496,374,0,626,58,-477,-6000,0,51,0.312703583,0.684039088
1,52,-48,0,126,-9,16,-7,0,-1,-28,90,-111100,205000,61,-0.049932524,0.489878543
1,-46,5,0,-52,8,-672,-58,0,-58,-54,0,122000,0,-54,0.09352518,0.899280576
1,-33,-1095,-106,2711,449,-456,2845,-7,5680,612,0,-74400,0,-482,-0.040282305,0.701276952
1,19,-66,0,-249,292,-632,120,3,-82,3,0,-4400,0,-273,-0.088451209,0.555655028
1,-50,-3,0,54,-29,-61,-110,0,-162,-262,-83,-3200,0,-21,-0.16008316,0.937629938
1,-2407,2288,648,823,191,33571,-701,8,439,-2645,-5587,-967400,21000,-2598,-0.299523676,0.844120669
1,-24,193,0,-823,-469,-217,566,0,499,-259,277,870100,1389000,445,0.12148289,0.70608365
1,-464,100,0,-745,-293,-8,319,48,-1215,-1708,1046,-968100,3910000,-172,0.055345118,0.050084175
1,845,89,25,145,72,-974,-92,3,-95,42,163,224900,3370000,772,0.205450734,0.399371069
1,-1259,-422,-93,-497,-1186,-6014,969,-19,1473,-72,-1446,125000,0,-73,0.127367997,0.638049174
1,31,-197,0,96,109,274,501,4,301,-482,0,-124600,1492536,-78,-0.163212435,0.454663212
1,1013,204,196,-235,550,2132,240,1,160,373,59,-9900,388000,463,0.306430868,0.361093248
1,-283,-140,-60,32,-636,-189,133,16,216,-277,125,4144800,5944881,353,0.030821918,0.793664384
1,-66,-4,0,-9,-143,438,40,0,117,-133,-90,7805500,23684000,77,-0.056074766,0.126168224
1,7862,172,278,5201,4664,10783,1248,-8,910,3162,0,-71100,0,3198,-0.004028391,0.484643093
1,488,82,0,346,462,-228,-234,0,-147,16,0,100,2400,26,-0.009710833,0.762516185
1,11878,51,-4,2433,10282,1286,431,1,217,1808,-896,-532800,0,1596,0.569968011,0.725020385
1,451,694,150,69,413,158,-178,0,-141,-13,-35,-3000,0,37,-0.074078639,0.739060767
1,-195,-114,0,-5,43,551,-344,0,-197,-188,-878,959400,14563700,-238,0.014442364,0.07649104
1,98,7,0,286,-41,-90,5,0,13,-202,280,-574600,1030000,138,-0.189218922,0.181518152
1,3038,501,-340,815,1359,9617,809,6,368,1447,0,2900,0,1679,-0.003556694,0.527528809
1,-417,-69,1,45,-636,253,101,-1,91,180,0,-161000,0,219,0.011546642,0.812518991
1,851,1117,0,-394,628,32,-11,0,28,107,-142,1900,28300,224,-0.031866116,0.57565337
1,3090,363,0,589,2737,938,202,0,181,-977,-406,-159100,3350000,353,0.090938511,0.885760518
